note,title,url_or_path,citation_and_scope,access_level,research_as_of
1,한국 USDT 확장 연구의 실증 결과와 제출 판단,/home/ssd-990/soobeenkim/stablecoin_workshop/extension_20260909/RESEARCH_FINDINGS_KO.md,"자체 실증 자료. [한국 USDT 확장 연구의 실증 결과와 제출 판단](/home/ssd-990/soobeenkim/stablecoin_workshop/extension_20260909/RESEARCH_FINDINGS_KO.md), 가격 기준·중복률·호가 민감도 CSV. 관측 산식과 자체 계산이며 외부 재현 결과는 아니다.",Own results; frozen outputs,2026-09-09
2,When Bigger Is Better: The Impact of a Tiny Tick Size on Undercutting Behavior,https://doi.org/10.1017/S0022109022001077,"Dyhrberg, A. H., Foley, S., and Svec, J. (2023). [When Bigger Is Better: The Impact of a Tiny Tick Size on Undercutting Behavior](https://doi.org/10.1017/S0022109022001077). Journal of Financial and Quantitative Analysis, 58(6), 2387–2416.",Publisher/author metadata and prior source review,2026-09-09
3,USDT/KRW 등 호가 단위 변경,https://docs.upbit.com/kr/kr/changelog/usdtkrw_tick_unit_change,"Upbit 개발자센터. [USDT/KRW 등 호가 단위 변경](https://docs.upbit.com/kr/kr/changelog/usdtkrw_tick_unit_change), [2025년 7월 31일 원화 마켓 호가 정책 변경](https://docs.upbit.com/kr/changelog/krw_tick_unit_change_250731). 3안 입력의 1원 민감도는 역사적 최소호가와 구분한다.",Official exchange notices,2026-09-09
3,2025년 7월 31일 원화 마켓 호가 정책 변경,https://docs.upbit.com/kr/changelog/krw_tick_unit_change_250731,"Upbit 개발자센터. [USDT/KRW 등 호가 단위 변경](https://docs.upbit.com/kr/kr/changelog/usdtkrw_tick_unit_change), [2025년 7월 31일 원화 마켓 호가 정책 변경](https://docs.upbit.com/kr/changelog/krw_tick_unit_change_250731). 3안 입력의 1원 민감도는 역사적 최소호가와 구분한다.",Official exchange notices,2026-09-09
4,Stablecoin and cross-border crypto market integration,https://doi.org/10.1016/j.econlet.2025.112704,"Kang, C.-M., Kang, H.-G., Kim, D., and Sul, H. K. (2025). [Stablecoin and cross-border crypto market integration](https://doi.org/10.1016/j.econlet.2025.112704). Economics Letters, 257, 112704. 출판사 공개 초록·절별 내용 기준; 전체 유료 원문 재현은 아니다.",Publisher abstract and public sections; full paid text not accessed,2026-09-09
5,Nonlinear dynamics of Kimchi premium,https://doi.org/10.1016/j.econmod.2024.106726,"Seo, M. H., Koo, B., and Yang, Y. F. (2024). [Nonlinear dynamics of Kimchi premium](https://doi.org/10.1016/j.econmod.2024.106726). Economic Modelling, 135, 106726. [기관 공개 원문](https://researchmgt.monash.edu/ws/portalfiles/portal/590976616/586624035_oa.pdf).",Institutional open manuscript; prior review,2026-09-09
5,기관 공개 원문,https://researchmgt.monash.edu/ws/portalfiles/portal/590976616/586624035_oa.pdf,"Seo, M. H., Koo, B., and Yang, Y. F. (2024). [Nonlinear dynamics of Kimchi premium](https://doi.org/10.1016/j.econmod.2024.106726). Economic Modelling, 135, 106726. [기관 공개 원문](https://researchmgt.monash.edu/ws/portalfiles/portal/590976616/586624035_oa.pdf).",Institutional open manuscript; prior review,2026-09-09
6,Adaptive Conformal Inference for Computing Market Risk Measures: An Analysis with Four Thousand Crypto-Assets,https://www.mdpi.com/1911-8074/17/6/248,"Fantazzini, D. (2024). [Adaptive Conformal Inference for Computing Market Risk Measures: An Analysis with Four Thousand Crypto-Assets](https://www.mdpi.com/1911-8074/17/6/248). Journal of Risk and Financial Management, 17(6), 248.",Open journal full text; prior review,2026-09-09
7,워크숍 2안 신규성과 기여 평가,/home/ssd-990/soobeenkim/stablecoin_workshop/workshop2_20260909/NOVELTY_ASSESSMENT_KO.md,"자체 실험. [워크숍 2안 신규성과 기여 평가](/home/ssd-990/soobeenkim/stablecoin_workshop/workshop2_20260909/NOVELTY_ASSESSMENT_KO.md), [동일 표본 모델 점수](/home/ssd-990/soobeenkim/stablecoin_workshop/workshop2_20260909/sequence_scores.csv). 1,633개·77일, 동일한 관측 기간을 재사용한 탐색 실험.",Own matched-sample model results,2026-09-09
7,동일 표본 모델 점수,/home/ssd-990/soobeenkim/stablecoin_workshop/workshop2_20260909/sequence_scores.csv,"자체 실험. [워크숍 2안 신규성과 기여 평가](/home/ssd-990/soobeenkim/stablecoin_workshop/workshop2_20260909/NOVELTY_ASSESSMENT_KO.md), [동일 표본 모델 점수](/home/ssd-990/soobeenkim/stablecoin_workshop/workshop2_20260909/sequence_scores.csv). 1,633개·77일, 동일한 관측 기간을 재사용한 탐색 실험.",Own matched-sample model results,2026-09-09
8,"Stablecoin risk – a hybrid Copula-GARCH–QT framework for early warning, tail quantiles, and co-depeg dynamics",https://doi.org/10.1016/j.najef.2026.102654,"Lee, M.-C. (2026). [Stablecoin risk – a hybrid Copula-GARCH–QT framework for early warning, tail quantiles, and co-depeg dynamics](https://doi.org/10.1016/j.najef.2026.102654). North American Journal of Economics and Finance, 85, 102654. 공개 초록·절별 내용; 전체 성능표 미확인.",Publisher abstract and public sections; full tables not accessed,2026-09-09
9,CAMEG 연구 초록 수록 ECB Occasional Paper 382,https://www.ecb.europa.eu/pub/pdf/scpops/ecb.op382.pt.pdf?a36a0ad16e6f148609edc395d6c67820=,"Basilico 외. [CAMEG 연구 초록 수록 ECB Occasional Paper 382](https://www.ecb.europa.eu/pub/pdf/scpops/ecb.op382.pt.pdf?a36a0ad16e6f148609edc395d6c67820=), 2026, p.14, Making or breaking the peg? Predicting stablecoins’ Betelgeuse moment. 완성 논문 전체가 아닌 공개 연구 초록.","ECB conference research abstract, not full individual paper",2026-09-09
