name,stage,metric,difference,low95,high95
tcn_training_main,cal,clean_tail,0.007656993644078128,0.001667097251828376,0.013839541662588902
tcn_training_main,cal,stress_excess,-0.038945528565687004,-0.04823424592856713,-0.029580781442995873
tcn_training_main,cal,sensitivity_h1,-0.5396365671638004,-0.6564841141763,-0.4242066732136629
tcn_training_main,raw,clean_tail,0.012018603827675917,0.0033013571200664546,0.02044753479470343
tcn_training_main,raw,stress_excess,-0.043230830247715596,-0.05228532668530827,-0.03415730568405572
tcn_training_main,raw,sensitivity_h1,-0.5396365671638004,-0.6564841141763,-0.42420667321366295
tcn_financial_main,cal,clean_tail,-0.008386188704260132,-0.01402519675143949,-0.0037342283503705004
tcn_financial_main,cal,stress_excess,-0.008048331801985796,-0.009560257266403745,-0.006333885940716852
tcn_financial_main,cal,sensitivity_h1,-0.13321812088898724,-0.15856348586296753,-0.10707920374910258
tcn_financial_main,raw,clean_tail,-0.0075596795255901406,-0.012088641959849968,-0.0034821788119667593
tcn_financial_main,raw,stress_excess,-0.00808322881610539,-0.009660494270706277,-0.006388286180166214
tcn_financial_main,raw,sensitivity_h1,-0.13321812088898724,-0.15856348586296753,-0.10707920374910257
tcn_interaction,cal,clean_tail,-0.01526196738637053,-0.02407302155214434,-0.0077547609254414035
tcn_interaction,cal,stress_excess,-0.016553428849179142,-0.019662203588652328,-0.01325304530889477
tcn_interaction,cal,sensitivity_h1,-0.2531685862458834,-0.3106743234820132,-0.19085075222129108
tcn_interaction,raw,clean_tail,-0.013629300219844601,-0.020515470842609133,-0.006732927449517162
tcn_interaction,raw,stress_excess,-0.0168674168516293,-0.020183300482315446,-0.013363250406998371
tcn_interaction,raw,sensitivity_h1,-0.2531685862458834,-0.3106743234820133,-0.19085075222129108
tcn_max_minus_mean_tick,cal,clean_tail,2.6009950892860896e-05,-0.004574866168489641,0.004272735217304144
tcn_max_minus_mean_tick,cal,stress_excess,-0.04722224299027659,-0.05669796531079526,-0.03758507745323757
tcn_max_minus_mean_tick,cal,sensitivity_h1,-0.6662208602867421,-0.7720592742932044,-0.5490840979509304
tcn_max_minus_mean_tick,raw,clean_tail,0.005203953717753614,-0.003378131088173761,0.012748376005442921
tcn_max_minus_mean_tick,raw,stress_excess,-0.05166453867353025,-0.06131315824305377,-0.041914992696241535
tcn_max_minus_mean_tick,raw,sensitivity_h1,-0.6662208602867421,-0.7720592742932044,-0.5490840979509304
tcn_max_minus_mean_shuffled,cal,clean_tail,0.01528797733726339,0.006234427896851807,0.024857511883983698
