cell,comparison,candidate,reference,n,days,delta,relative_pct,ci_low,ci_high,p_centered_approx,block_days,B,holm_primary_p
btc_h6,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1837,78,-0.03506157063408312,-2.7000193361213385,-0.05272877249739416,-0.01862524231045571,0.0005,5,1999,
btc_h6,primary_history,update_lgbm_local_cal28,hist28,1837,78,-0.01938717848613231,-1.475160715721143,-0.04461688634773622,0.002182586377639327,0.0985,5,1999,
btc_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,0.004636813276678598,0.3464792543898596,-0.004215436994763226,0.013220227864334634,0.31,5,1999,
btc_h6,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1837,78,-0.003374268690076253,-0.25301405327855975,-0.011994413121332391,0.005007075986543522,0.4585,5,1999,
btc_h6,calibration,update_lgbm_local_cal28,update_lgbm_local_raw,1837,78,0.0005097497406497772,0.03820815156046419,-0.007658638297913586,0.009259205944219334,0.9045,5,1999,
btc_h6,threshold,update_lgbm_local_cal28,update_threshold_local_cal28,1837,78,-0.0209231348608004,-1.5938936541000224,-0.03791192566463407,-0.006592563055553487,0.007,5,1999,
btc_h6,qar,update_lgbm_local_cal28,update_qar_qar_cal28,1837,78,-0.01800872796869807,-1.368839389644719,-0.0441897487251729,0.004623438669715741,0.146,5,1999,
btc_h6,recent_history,update_lgbm_local_cal28,hist7,1837,78,0.0006253241802145549,0.046866941866458164,-0.02788083553231979,0.028670276039495547,0.9635,5,1999,
mean5_h12,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1831,78,-0.05537291784735896,-3.2767532204228442,-0.08291513747035131,-0.027892939849136062,0.0005,5,1999,
mean5_h12,primary_history,update_lgbm_local_cal28,hist28,1831,78,-0.05512487489595602,-3.261596262309244,-0.08728694974032108,-0.02342950758403422,0.0005,5,1999,
mean5_h12,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1831,78,0.010937889111172988,0.6228219728887913,5.711890923751706e-05,0.023986240707385857,0.069,5,1999,
mean5_h12,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1831,78,-0.006812880548735786,-0.39036828264450085,-0.017796259498218003,0.004098050441555043,0.2105,5,1999,
mean5_h12,calibration,update_lgbm_local_cal28,update_lgbm_local_raw,1831,78,0.017043239150881233,0.9671088237811841,-0.0014721577412086654,0.03314479900779308,0.0605,5,1999,
mean5_h12,threshold,update_lgbm_local_cal28,update_threshold_local_cal28,1831,78,-0.05930745127832924,-3.5177740018828496,-0.08517255199745212,-0.0357881186801829,0.0005,5,1999,
mean5_h12,qar,update_lgbm_local_cal28,update_qar_qar_cal28,1831,78,-0.06413295172682312,-3.8149137713472214,-0.09460972998067504,-0.03726276192180752,0.0005,5,1999,
mean5_h12,recent_history,update_lgbm_local_cal28,hist7,1831,78,-0.037502175887227256,-2.19600918700613,-0.07536296491616817,-0.0033701817412366774,0.042,5,1999,
mean5_h1,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1839,78,-0.04272763361783591,-2.616265967986598,-0.07053303426785809,-0.016260007085041963,0.002,5,1999,
mean5_h1,primary_history,update_lgbm_local_cal28,hist28,1839,78,0.007881677562605494,0.4680991000385038,-0.029927066134775724,0.046472556919989756,0.7,5,1999,
mean5_h1,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1839,78,-0.010053877010448343,-0.603536667093023,-0.02676949037206777,0.004917944020759163,0.206,5,1999,
mean5_h1,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1839,78,0.002052334141870573,0.122463005471309,-0.005507334515555867,0.008887698621445754,0.5785,5,1999,
mean5_h1,calibration,update_lgbm_local_cal28,update_lgbm_local_raw,1839,78,0.023232808303203626,1.3673486315862293,0.0007058819088704482,0.04703281051475138,0.0475,5,1999,
mean5_h1,threshold,update_lgbm_local_cal28,update_threshold_local_cal28,1839,78,-0.04296701625519348,-2.6313093529058507,-0.06936506083301819,-0.01793391867022949,0.0005,5,1999,
mean5_h1,qar,update_lgbm_local_cal28,update_qar_qar_cal28,1839,78,-0.03497910365767328,-2.131699978917124,-0.06543964415027535,-0.002479130462128549,0.038,5,1999,
mean5_h1,recent_history,update_lgbm_local_cal28,hist7,1839,78,0.02090710334275228,1.2321576451509249,-0.025136871190585216,0.06854840963744564,0.383,5,1999,
mean5_h6,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1837,78,-0.043504202499098,-2.6003413564978777,-0.06500015549404503,-0.02181583488615097,0.0005,1,1999,
mean5_h6,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1837,78,-0.043504202499098,-2.6003413564978777,-0.07023005969019458,-0.01844197086627101,0.0005,5,1999,0.0015
mean5_h6,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1837,78,-0.043504202499098,-2.6003413564978777,-0.07544197675933456,-0.014641698968074652,0.006,10,1999,
mean5_h6,primary_history,update_lgbm_local_cal28,hist28,1837,78,-0.030998020287550918,-1.839072020666808,-0.05881105950064328,-0.0032548183378537116,0.0315,1,1999,
mean5_h6,primary_history,update_lgbm_local_cal28,hist28,1837,78,-0.030998020287550918,-1.839072020666808,-0.05938053289299899,-0.0023123762337320794,0.031,5,1999,0.062
mean5_h6,primary_history,update_lgbm_local_cal28,hist28,1837,78,-0.030998020287550918,-1.839072020666808,-0.06732497321672815,0.0020537340978590106,0.081,10,1999,
mean5_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,-0.0025550258199274057,-0.14907079347887411,-0.009540516939987743,0.004691582036100361,0.478,1,1999,
mean5_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,-0.0025550258199274057,-0.14907079347887411,-0.008984660074427837,0.00411680269014202,0.4305,5,1999,0.4305
mean5_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,-0.0025550258199274057,-0.14907079347887411,-0.007956118598591867,0.002813932779056394,0.3515,10,1999,
mean5_h6,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1837,78,-0.00044933788317067137,-0.026177211428344532,-0.009652726913746024,0.009024145787854713,0.9275,5,1999,
mean5_h6,calibration,update_lgbm_local_cal28,update_lgbm_local_raw,1837,78,0.03140471832424033,1.7966827836437016,0.011696464076482898,0.051348167149007674,0.003,5,1999,
mean5_h6,threshold,update_lgbm_local_cal28,update_threshold_local_cal28,1837,78,-0.040172213022201614,-2.39640836205682,-0.06381531261859297,-0.018325281456336332,0.0005,5,1999,
mean5_h6,qar,update_lgbm_local_cal28,update_qar_qar_cal28,1837,78,-0.042266026160854904,-2.524464529486626,-0.0731284363907396,-0.01440494860416104,0.004,5,1999,
mean5_h6,recent_history,update_lgbm_local_cal28,hist7,1837,78,-0.012685697547739124,-0.744536859601902,-0.052673675818857964,0.02762853681706232,0.537,5,1999,
mean5_h6,refitting,update_lgbm_local_cal28,freeze_lgbm_local_cal28,1837,78,0.017759837001519247,1.02404495493411,0.004054342221206411,0.03342768314361757,0.0185,5,1999,
mean5_h6,linear_refitting,update_linear_local_cal28,freeze_linear_local_cal28,1837,78,0.001544159493957216,0.09221268080797203,-0.002175085113187209,0.005768515345316169,0.4555,5,1999,
mean5_h6,window14,update_lgbm_local_cal14,update_lgbm_local_cal28,1837,78,-0.0007888742746502936,-0.04595768452057937,-0.011309155017417099,0.009850304648738305,0.8825,5,1999,
mean5_h6,window56,update_lgbm_local_cal56,update_lgbm_local_cal28,1837,78,-0.006962108639107472,-0.4055936449137476,-0.019403848517094157,0.004508302372501557,0.255,5,1999,
median5_h6,primary_linear,update_lgbm_local_cal28,update_linear_local_cal28,1837,78,-0.016999559028441785,-1.3326403724245575,-0.027766526226470686,-0.0069769708915127055,0.001,5,1999,
median5_h6,primary_history,update_lgbm_local_cal28,hist28,1837,78,0.0029201900956363465,0.2254016356128965,-0.016174352199431866,0.021940701696703965,0.7805,5,1999,
median5_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,0.002464486915083319,0.19029406522190492,-0.004647451376779213,0.009274397715848207,0.493,5,1999,
median5_h6,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1837,78,-0.010692122665954176,-0.8271606843499782,-0.019074516492635113,-0.002452770153945945,0.0125,5,1999,
