h,model,target,rep,beta
1,M0,e_origin,0,0.4372585729818422
1,M0,e_origin,1,0.18577277177461865
1,M0,e_origin,2,0.3499548374723712
1,M0,e_origin,3,0.4407980118871886
1,M0,e_origin,4,0.36368739213350304
1,M0,e_origin,5,0.44820173118408746
1,M0,e_origin,6,0.4691024842339332
1,M0,e_origin,7,0.4984648608635822
1,M0,e_origin,8,0.41388214275684976
1,M0,e_origin,9,0.3211436767018928
1,M0,e_origin,10,0.3693822839664229
1,M0,e_origin,11,0.370548400075492
1,M0,e_origin,12,0.4350609112063621
1,M0,e_origin,13,0.1311246212654801
1,M0,e_origin,14,0.41647072746131375
1,M0,e_origin,15,0.4080365670394995
1,M0,e_origin,16,0.36235804821237877
1,M0,e_origin,17,0.3537347221219214
1,M0,e_origin,18,0.4670200300205076
1,M0,e_origin,19,0.44454640447188004
1,M0,e_origin,20,0.31509720053986995
1,M0,e_origin,21,0.2144020462049405
1,M0,e_origin,22,0.4747237894092032
1,M0,e_origin,23,0.3966229665264009
1,M0,e_origin,24,0.20751642519207836
1,M0,e_origin,25,0.33695887599740304
1,M0,e_origin,26,0.4609791068552912
1,M0,e_origin,27,0.48710451661514653
1,M0,e_origin,28,0.30199331611014024
1,M0,e_origin,29,0.459117625125094
1,M0,e_origin,30,0.3273513870252591
1,M0,e_origin,31,0.3088101697644856
1,M0,e_origin,32,0.369064360242728
1,M0,e_origin,33,0.43275455176799704
1,M0,e_origin,34,0.4313810651362301
1,M0,e_origin,35,0.42724350567509417
1,M0,e_origin,36,0.41406509480629655
1,M0,e_origin,37,0.36003551821256746
1,M0,e_origin,38,0.47984399228157854
1,M0,e_origin,39,0.38778950500191983
1,M0,e_origin,40,0.40323199816938654
1,M0,e_origin,41,0.40111267721993765
1,M0,e_origin,42,0.37152228174158525
1,M0,e_origin,43,0.340369945722453
1,M0,e_origin,44,0.4225344506016995
1,M0,e_origin,45,0.4601744057929421
1,M0,e_origin,46,0.5321462545446695
1,M0,e_origin,47,0.3616090994470848
1,M0,e_origin,48,0.08890849998858073
1,M0,e_origin,49,0.3856082671413784
1,M0,e_origin,50,0.2843233580854339
1,M0,e_origin,51,0.37849182048144675
1,M0,e_origin,52,0.4496872293644156
1,M0,e_origin,53,0.38439338039704934
1,M0,e_origin,54,0.44761660598516056
1,M0,e_origin,55,0.44076268048917366
1,M0,e_origin,56,0.293378789716685
1,M0,e_origin,57,0.47053535174789873
1,M0,e_origin,58,0.34198142850570434
1,M0,e_origin,59,0.4686906287264584
1,M0,e_origin,60,0.46497993676279326
1,M0,e_origin,61,0.4993099630708036
1,M0,e_origin,62,0.408214820582085
1,M0,e_origin,63,0.3119756573432595
1,M0,e_origin,64,0.4630959525077266
1,M0,e_origin,65,0.35188403804701623
1,M0,e_origin,66,0.5677692980281824
1,M0,e_origin,67,0.26486491809644086
1,M0,e_origin,68,0.43945868899501767
1,M0,e_origin,69,0.34033452806171166
1,M0,e_origin,70,0.43127663190054316
1,M0,e_origin,71,0.3711313572249768
1,M0,e_origin,72,0.31168965277000477
1,M0,e_origin,73,0.32493424085581274
1,M0,e_origin,74,0.40880252992485533
1,M0,e_origin,75,0.4165776561663855
1,M0,e_origin,76,0.4092886596306498
1,M0,e_origin,77,0.449731247684247
1,M0,e_origin,78,0.3072036859898202
1,M0,e_origin,79,0.34946302831211024
1,M0,e_origin,80,0.36847883081815425
1,M0,e_origin,81,0.32546539876393515
1,M0,e_origin,82,0.24179770004058776
1,M0,e_origin,83,0.3914096272097029
1,M0,e_origin,84,0.2889926439941839
1,M0,e_origin,85,0.30126210693066763
1,M0,e_origin,86,0.2694416220421727
1,M0,e_origin,87,0.38472894819091935
1,M0,e_origin,88,0.22400200041437432
1,M0,e_origin,89,0.1357709177737163
1,M0,e_origin,90,0.3537906787854273
1,M0,e_origin,91,0.28426755645553275
1,M0,e_origin,92,0.4659854199587255
1,M0,e_origin,93,0.29333425549487996
1,M0,e_origin,94,0.1504705680072024
1,M0,e_origin,95,0.3115930919287059
1,M0,e_origin,96,0.4542078543347987
1,M0,e_origin,97,0.5053750276768489
1,M0,e_origin,98,0.27023980835671196
1,M0,e_origin,99,0.38521082012319585
1,M0,e_origin,100,0.35733992122947333
1,M0,e_origin,101,0.3842077431650046
1,M0,e_origin,102,0.25036321258273403
1,M0,e_origin,103,0.3957397962314778
1,M0,e_origin,104,0.414263473455449
1,M0,e_origin,105,0.40541900255778335
1,M0,e_origin,106,0.0911515384401298
1,M0,e_origin,107,0.24645029036547322
1,M0,e_origin,108,0.22399573934642097
1,M0,e_origin,109,0.26738134454795587
1,M0,e_origin,110,0.3561241892175625
1,M0,e_origin,111,0.3901645707318957
1,M0,e_origin,112,0.5051502278668135
1,M0,e_origin,113,0.4530323276017606
1,M0,e_origin,114,0.48942257768500724
1,M0,e_origin,115,0.3138819136724822
1,M0,e_origin,116,0.3619967708928841
1,M0,e_origin,117,0.46204587175967693
1,M0,e_origin,118,0.12622866663797416
1,M0,e_origin,119,0.195365923459045
1,M0,e_origin,120,0.30118495052097277
1,M0,e_origin,121,0.27101055086514325
1,M0,e_origin,122,0.23103687164846023
1,M0,e_origin,123,0.33422366624793987
1,M0,e_origin,124,0.49832344063798073
1,M0,e_origin,125,0.37768698132922063
1,M0,e_origin,126,0.405919459591533
1,M0,e_origin,127,0.5257459967890157
1,M0,e_origin,128,0.2752066501358252
1,M0,e_origin,129,0.3528432120775275
1,M0,e_origin,130,0.37678268237006474
1,M0,e_origin,131,0.3854313701167688
1,M0,e_origin,132,0.4116447343779397
1,M0,e_origin,133,0.44268316253738965
1,M0,e_origin,134,0.36022916433347896
1,M0,e_origin,135,0.42041164669886677
1,M0,e_origin,136,0.2777839601697264
1,M0,e_origin,137,0.18553556277007582
1,M0,e_origin,138,0.3302574493240552
1,M0,e_origin,139,0.30256919030364476
1,M0,e_origin,140,0.3635157543555982
1,M0,e_origin,141,0.45145448069236427
1,M0,e_origin,142,0.29076092001679577
1,M0,e_origin,143,0.3715240414900811
1,M0,e_origin,144,0.319211602113159
1,M0,e_origin,145,0.4368535617974463
1,M0,e_origin,146,0.47735101224752585
1,M0,e_origin,147,0.31894459319843743
1,M0,e_origin,148,0.45648902226330684
1,M0,e_origin,149,0.5662630726424651
1,M0,e_origin,150,0.35700994438489875
1,M0,e_origin,151,0.39132138783199566
