h,model,target,rep,beta
1,M0,e_origin,0,0.4596293013157804
1,M0,e_origin,1,0.13895804542094442
1,M0,e_origin,2,0.3104190459831657
1,M0,e_origin,3,0.3884704784140822
1,M0,e_origin,4,0.07260484616447191
1,M0,e_origin,5,0.2952196755672431
1,M0,e_origin,6,0.35298080495343265
1,M0,e_origin,7,0.4197816542435755
1,M0,e_origin,8,0.3552048633137343
1,M0,e_origin,9,0.13040127234157434
1,M0,e_origin,10,0.26640761276852587
1,M0,e_origin,11,0.4002647102808003
1,M0,e_origin,12,0.2516095164879401
1,M0,e_origin,13,0.2615222474693754
1,M0,e_origin,14,0.06927162138642548
1,M0,e_origin,15,0.5278557516872244
1,M0,e_origin,16,0.16496221096574024
1,M0,e_origin,17,0.15175226843050227
1,M0,e_origin,18,0.44193246750702103
1,M0,e_origin,19,0.521908277912844
1,M0,e_origin,20,0.2733102662192371
1,M0,e_origin,21,0.23037330189924346
1,M0,e_origin,22,0.4588162559361165
1,M0,e_origin,23,0.20757667632472152
1,M0,e_origin,24,0.12528752652116532
1,M0,e_origin,25,0.06950040072307127
1,M0,e_origin,26,0.4998563137260014
1,M0,e_origin,27,0.5354375738420992
1,M0,e_origin,28,0.17208382221827367
1,M0,e_origin,29,0.4300970508210203
1,M0,e_origin,30,0.14231481380627442
1,M0,e_origin,31,0.3103592489693574
1,M0,e_origin,32,0.17438234944880113
1,M0,e_origin,33,0.4268064959438009
1,M0,e_origin,34,0.4810497956884788
1,M0,e_origin,35,0.5868107794358155
1,M0,e_origin,36,0.36324989404846225
1,M0,e_origin,37,0.1709447476126249
1,M0,e_origin,38,0.19288780567047512
1,M0,e_origin,39,0.4530337032267115
1,M0,e_origin,40,0.375060310977581
1,M0,e_origin,41,0.13908564697390646
1,M0,e_origin,42,0.365058014349031
1,M0,e_origin,43,0.3419749508852905
1,M0,e_origin,44,0.3433983955786924
1,M0,e_origin,45,0.4116553389274617
1,M0,e_origin,46,0.07861516976319465
1,M0,e_origin,47,0.10419330951999049
1,M0,e_origin,48,0.216595303071156
1,M0,e_origin,49,0.4204566818010077
1,M0,e_origin,50,0.07031624483305719
1,M0,e_origin,51,0.33255698301677805
1,M0,e_origin,52,0.38437639078215763
1,M0,e_origin,53,0.07531234772845825
1,M0,e_origin,54,0.338346886939306
1,M0,e_origin,55,0.43776528033216605
1,M0,e_origin,56,0.3545402590426013
1,M0,e_origin,57,0.1773594763030534
1,M0,e_origin,58,0.27021990950816377
1,M0,e_origin,59,0.35950559083946587
1,M0,e_origin,60,0.23268627570939734
1,M0,e_origin,61,0.4090337481203468
1,M0,e_origin,62,0.3649491404858835
1,M0,e_origin,63,0.2924835010358478
1,M0,e_origin,64,0.4063383187623384
1,M0,e_origin,65,0.2760003377962859
1,M0,e_origin,66,0.3004821907042671
1,M0,e_origin,67,0.06258659396127098
1,M0,e_origin,68,0.1764947415378726
1,M0,e_origin,69,0.11121215972065433
1,M0,e_origin,70,0.38006325086882864
1,M0,e_origin,71,0.14846844932746353
1,M0,e_origin,72,0.22048898145747095
1,M0,e_origin,73,0.38260383841066675
1,M0,e_origin,74,0.4148751986771918
1,M0,e_origin,75,0.34015233055327637
1,M0,e_origin,76,0.40731811663485146
1,M0,e_origin,77,0.49733193007987564
1,M0,e_origin,78,0.06715205098700441
1,M0,e_origin,79,0.07393458009338474
1,M0,e_origin,80,0.2841740061660864
1,M0,e_origin,81,0.2572234347142923
1,M0,e_origin,82,0.24727149983559688
1,M0,e_origin,83,0.2787709899521679
1,M0,e_origin,84,0.0653023144069745
1,M0,e_origin,85,0.35032919829042497
1,M0,e_origin,86,0.21556252844676407
1,M0,e_origin,87,0.09587230066149267
1,M0,e_origin,88,0.28186642477297397
1,M0,e_origin,89,0.07736473469779154
1,M0,e_origin,90,0.20587795791559105
1,M0,e_origin,91,0.14712220175342341
1,M0,e_origin,92,0.3238041146686468
1,M0,e_origin,93,0.1955136695505909
1,M0,e_origin,94,0.18356383174297577
1,M0,e_origin,95,0.25751434565803577
1,M0,e_origin,96,0.14049128547542541
1,M0,e_origin,97,0.5116040232090863
1,M0,e_origin,98,0.34685919654528075
1,M0,e_origin,99,0.18281117864261248
1,M0,e_origin,100,0.16083505855073968
1,M0,e_origin,101,0.43863893623574157
1,M0,e_origin,102,0.07464092961761537
1,M0,e_origin,103,0.5187707495574411
1,M0,e_origin,104,0.1685746119459672
1,M0,e_origin,105,0.3644207704630358
1,M0,e_origin,106,0.10684620051473279
1,M0,e_origin,107,0.07102552297324591
1,M0,e_origin,108,0.06450584462337908
1,M0,e_origin,109,0.07027681426730313
1,M0,e_origin,110,0.1856892041696428
1,M0,e_origin,111,0.11265740113851906
1,M0,e_origin,112,0.5480146242611
1,M0,e_origin,113,0.08289505321891484
1,M0,e_origin,114,0.4129898944359397
1,M0,e_origin,115,0.07338449684660424
1,M0,e_origin,116,0.17622954579913083
1,M0,e_origin,117,0.5143351946047111
1,M0,e_origin,118,0.1902820609539193
1,M0,e_origin,119,0.08296053373167821
1,M0,e_origin,120,0.29743209915786023
1,M0,e_origin,121,0.2795680059500776
1,M0,e_origin,122,0.11612329643535668
1,M0,e_origin,123,0.2531498343879811
1,M0,e_origin,124,0.34795010945071003
1,M0,e_origin,125,0.19823141104206426
1,M0,e_origin,126,0.3597423018560098
1,M0,e_origin,127,0.5233336038765701
1,M0,e_origin,128,0.141186640191686
1,M0,e_origin,129,0.34613745144956776
1,M0,e_origin,130,0.31592993494859517
1,M0,e_origin,131,0.41675873249643736
1,M0,e_origin,132,0.07647657853905414
1,M0,e_origin,133,0.40012570615563703
1,M0,e_origin,134,0.15384731549373312
1,M0,e_origin,135,0.06902586960420673
1,M0,e_origin,136,0.09980637950329886
1,M0,e_origin,137,0.33446540265545444
1,M0,e_origin,138,0.14545777970949572
1,M0,e_origin,139,0.20192183130015529
1,M0,e_origin,140,0.23182552902899606
1,M0,e_origin,141,0.36987336913738666
1,M0,e_origin,142,0.21663750528004322
1,M0,e_origin,143,0.37715797466106066
